Include this line!	2	3	4	5	6
					
ROAD DUST SUB-MODEL PARAMETERS					
Road wear					
W0,roadwear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	14.4	0.36	0.36		
Light (li)	2.88	0.072	0.072		
Parameters for speed dependence 	a1	a2	a3	Vref,roadwear	Vmin,roadwear
W=W0*(a1+a2*(max[V,Vmin]/Vref)a3) 	0.00	1.00	1.00	70.00	30.00
Tyre wear					
W0,tirewear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	0.5	0.5	0.5		
Light (li)	0.1	0.1	0.1		
Parameters for speed dependence 	a1	a2	a3	Vref,tyrewear	Vmin,tyrewear
W=W0*(a1+a2*(max[V,Vmin]/Vref)a3) 	0.00	1.00	1.00	70.00	30.00
Brake wear					
W0,brakewear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	0.05	0.05	0.05		
Light (li)	0.01	0.01	0.01		
Parameters for speed dependence 	a1	a2	a3	Vref,brakewear	Vmin,brakewear
W=W0*(a1+a2*(max[V,Vmin]/Vref)a3) 	1.00	-0.75	1.00	120.00	30.00
Snow depth wear threshold					
Parameter	Value				
sroadwear,thresh (mm w.e.)	5				
Pavement type scaling factor					
Number of pavement types	10				
Index(p)	Name	hpave (p)			
1	NBM19_SS11	3.6	1		
2	NBM14_SS11	2.9			
3	NBM10_SS11	2.32			
4	NBM7_SS11	1.9			
5	NB_sletta	1			
6	HCAB_before_2008	4			
7	Runeberg	1			
8	HCAB_after_2008	2			
9	Stavanger	1			
10	Finish/Honrnsgatan	0.98	0.98		
Driving cycle scaling factor					
Number of driving cycle types	4				
Index(d)	Name	hdrivingcycle (d)			
1	Reference	1			
2	Urban	1.5			
3	Highway	0.5			
4	Congested	2			
Road suspension					
f0,suspension(veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	1.20E-04	1.20E-04	1.20E-04		
Light (li)	3.00E-06	3.00E-06	3.00E-06		
Parameters for speed dependence 	a1	a2	a3	Vref,suspension	Vmin,suspension
fsus=fsus0*(a1+a2*(max[V,Vmin]/Vref)a3) 	0.00	1.00	1.00	50.00	20.00
Suspension scaling factors					
Source	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5	
h0,roadwear 	1	1	1	1	
h0,tyrewear	1	1	1	1	
h0,brakewear 	1	1	1	1	
h0,sand 	100	1	1	1	
h0,depo 	1	1	1	1	
h0,fugitive 	1	1	1	1	
h0,exhaust 	1	1	1	1	
h0,salt(1) 	1	1	1	1	
h0,salt(2) 	1	1	1	1	
h0,q_road	1	1	1	1	
Abrasion factor					
fabrasion (veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	1.00E-05	1.00E-05	1.00E-05		
Light (li)	1.00E-06	1.00E-06	1.00E-06		
Reference speed Vref,abrasion (km/hr)	60				
Abrasion scaling factor	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5	
h0,abrasion	1	0	0	0	
Crushing factor					
f0,crushing (veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)		
Heavy (he)	1.20E-04	1.20E-04	1.20E-04		
Light (li)	1.20E-04	1.20E-04	1.20E-04		
Reference speed Vref,crushing (km/hr)	60				
Crushing scaling factor	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5	
h0,crushing	1	0	0	0	
Sources participating in abrasion and crushing					
Source	Abrasion	Crushing			
p0,roadwear 	0	0			
p0,tyrewear	0	0			
p0,brakewear 	0	0			
p0,sand 	1	1			
p0,depo 	0	0			
p0,fugitive 	0	0			
p0,exhaust 	0	0			
p0,salt(1) 	0	0			
p0,salt(2) 	0	0			
Direct emission factor					
Source parameter	Value				
f0,dir-roadwear 	0.75				
f0,dir-tyrewear	0.75				
f0,dir-brakewear 	0.75				
f0,dir-crushing	0				
f0,dir-abrasion	0				
f0,dir-exhaust	0.98				
Fractional size distribution					
Source	PMall	PM200	PM10	PM2.5	
fPM,roadwear 	1	1	0.28	0.0224	
fPM,tyrewear	1	1	0.1	0.01	
fPM,brakewear 	1	1	0.8	0.5	
