Include this line!	2	3	4	5	6	Comments										
						Includes NORDUST 2 updates for crushing. sus/dir. suspension										
ROAD DUST SUB-MODEL PARAMETERS							ROAD WEAR MODEL CALCULATOR INPUT 				OUTPUT (W0=2.88. Vref=70)	OUTPUT				
Road wear							NBM	Stone size	Stone % > 4 mm 	Speed	 hpave 	 ROAD WEAR W0				
W0.roadwear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)				6.00	16.00	75.00	70.00	0.98	2.82				
Heavy (he)	14.4	0.36	0.36				Recommended wear values			 hpave						
Light (li)	2.88	0.072	0.072				2.82	0.07	0.07	0.98						
Parameters for speed dependence 	a1	a2	a3	Vref.roadwear	Vmin.roadwear											
W=W0*(a1+a2*(max[V.Vmin]/Vref)a3) 	0.00	1.00	1.00	70.00	30.00											
Tyre wear																
W0.tirewear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)													
Heavy (he)	0.5	0.5	0.5													
Light (li)	0.1	0.1	0.1													
Parameters for speed dependence 	a1	a2	a3	Vref.tyrewear	Vmin.tyrewear											
W=W0*(a1+a2*(max[V.Vmin]/Vref)a3) 	0.00	1.00	1.00	70.00	30.00											
Brake wear							Index(p)	Name	hpave (p)							
W0.brakewear (g km-1 veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)				1	NBM7_SS11	1.9							
Heavy (he)	0.05	0.05	0.05				2	NBM10_SS11	2.32							
Light (li)	0.01	0.01	0.01				3	NBM14_SS11	2.9							
Parameters for speed dependence 	a1	a2	a3	Vref.brakewear	Vmin.brakewear		4	NBM19_SS11	3.6							
W=W0*(a1+a2*(max[V.Vmin]/Vref)a3) 	1.00	-0.75	1.00	120.00	30.00		5	NBM7_SS16	1.5							
Snow depth wear threshold							6	NBM10_SS16	1.98							
Parameter	Value						7	NBM14_SS16	2.56							
sroadwear.thresh (mm w.e.)	5					5	8	NBM19_SS16	3.28							
Pavement type scaling factor							9	NBM7_SS8	2.1							
Number of pavement types	10					Must match number of indexes	10	NBM10_SS8	2.53							
Index(p)	Name	hpave (p)				3.6	11	NBM14_SS8	3.11							
1	NBM19_SS11	1	1				12	NBM19_SS8	3.83							
2	NBM14_SS11	2.9														
3	NBM10_SS11	2.32					Need to update the rest to be the same as the text version									
4	NBM7_SS11	1.9														
5	NB_sletta	1					Index(p)	Name	hpave (p)							
6	HCAB_before_2008	4					1	Hornsgatan	0.98							
7	Runeberg	1					2	Mannerheimintie	1							
8	HCAB_after_2008	2					3	Essingeleden	0.98							
9	Stavanger	1					4	RV4	1.6							
10	Finish/Honrnsgatan	0.98	0.98				5	NB_sletta	1							
Driving cycle scaling factor							6	HCAB_before_2008	4							
Number of driving cycle types	4						7	Runeberg	1							
Index(d)	Name	hdrivingcycle (d)					8	HCAB_after_2008	2							
1	Reference	1					9	Stavanger	1							
2	Urban	1.5					10	Finish	0.98							
3	Highway	0.5														
4	Congested	2														
Road suspension																
f0.suspension(veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)				40	10	40							
Heavy (he)	1.20E-04	1.20E-04	1.20E-04			Control scaling value in green. Change this to change all.	Test scaling									
Light (li)	3.00E-06	3.00E-06	3.00E-06				2.00	5	2							
Parameters for speed dependence 	a1	a2	a3	Vref.suspension	Vmin.suspension											
fsus=fsus0*(a1+a2*(max[V.Vmin]/Vref)a3) 	0.00	1.00	1.00	50.00	20.00											
Suspension scaling factors																
Source	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5												
h0.roadwear 	1	1	1	1												
h0.tyrewear	1	1	1	1												
h0.brakewear 	1	1	1	1												
h0.sand 	100	1	1	1												
h0.depo 	1	1	1	1												
h0.fugitive 	1	1	1	1												
h0.exhaust 	1	1	1	1												
h0.salt(1) 	1	1	1	1												
h0.salt(2) 	1	1	1	1												
h0.q_road	1	1	1	1		If 0 then no wet retention. 1 includes retention										
Abrasion factor																
fabrasion (veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)													
Heavy (he)	1.00E-05	1.00E-05	1.00E-05			Scaling										
Light (li)	1.00E-06	1.00E-06	1.00E-06			1										
Reference speed Vref.abrasion (km/hr)	60															
Abrasion scaling factor	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5												
h0.abrasion	1	0	0	0		Specifies which size fractions cause abrasion (weighted)										
Crushing factor																
f0.crushing (veh-1)	Studded tyres (st)	Winter tyres (wi)	Summer tyres (su)			Scaling										
Heavy (he)	1.20E-04	1.20E-04	1.20E-04			0.1										
Light (li)	1.20E-04	1.20E-04	1.20E-04			1.00E-06										
Reference speed Vref.crushing (km/hr)	60															
Crushing scaling factor	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5												
h0.crushing	1	0	0	0		Specifies which size fractions can be crushed (weighted). PM2.5=0										
Sources participating in abrasion and crushing																
Source	Abrasion	Crushing														
p0.roadwear 	0	0														
p0.tyrewear	0	0														
p0.brakewear 	0	0														
p0.sand 	1	1														
p0.depo 	0	0														
p0.fugitive 	0	0														
p0.exhaust 	0	0														
p0.salt(1) 	0	0														
p0.salt(2) 	0	0														
Direct emission factor																
Source parameter	Value															
f0.dir-roadwear 	0.75															
f0.dir-tyrewear	0.75															
f0.dir-brakewear 	0.75															
f0.dir-crushing	0															
f0.dir-abrasion	0															
f0.dir-exhaust	0.98					This is the fraction of exhaust. dry or wet. deposited on the road										
Fractional size distribution																
Source	PMall	PM200	PM10	PM2.5												
fPM.roadwear 	1	1	0.28	0.0224												
fPM.tyrewear	1	1	0.1	0.01		Scaling										
fPM.brakewear 	1	1	0.8	0.5												
fPM.sand 	1	0.05	0.008	0.002		1										
fPM.depo 	1	1	0.2	0.04												
fPM.fugitive 	1	1	0.28	0.0224												
fPM.exhaust 	1	1	1	1												
fPM.salt(1) 	1	1	0.28	0.0224												
fPM.salt(2) 	1	1	0.28	0.0224												
fPM.crushing 	1	0.1	0.02	0.003		Specifies size distribution of crushed material										
fPM.abrasion 	1	1	0.28	0.0224		Specifies size distribution of road abrasion material										
Reference speed Vref.PM-fraction (km/hr)	50															
cPM-fraction (km/hr)-1	0					Set to 0 if no speed dependence required. Default is 0.012										
Wind blown dust emission factors																
Parameter	Value															
twind (hr)	12															
FFthresh (m/s)	5															
Activity efficiency factors for dust and salt																
Efficiency parameter dust	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5												
hploughing-eff	0.5	0.01	0.01	0.01												
hcleaning-eff	0.5	0.001	0.001	0.001												
hdrainage-eff	0.05	0.005	0.005	0.005												
hspraying-eff	0.1	0.1	0.1	0.1												
Efficiency parameter salt	Salt(1)	Salt(2)														
hploughing-eff	0.3	0.3														
hcleaning-eff	0.2	0.2														
hdrainage-eff	1	1														
hspraying-eff	1	1														
Deposition velocity																
	PM200 - PM10	PM10 - PM2.5	PM2.5													
wx (m/s)	0.003	0.001	0.0005													
Concentration conversion limit values																
Parameter	Value															
NOX.concentration-min (�g/m3)	5				5											
NOX.emission-min (g/km/hr)	50				50											
																
MOISTURE SUB-MODEL PARAMETERS																
Spray and splash factors																
Parameter	Water	Snow	Ice													
f0.spray (veh-1) (he)	1.20E-04	1.20E-04	1.20E-05													
f0.spray (veh-1) (li)	2.00E-05	2.00E-05	2.00E-06			Value calculated based on MORS2 experiments	1.30E-04	1.30E-05	1.30E-06							
Vref.spray  (km/hr)	80	80	80													
groad.sprayable-min (mm)	0.05	0.05	0.05													
Power law factor for spray aspray	3	3	3													
Vthresh.spray  (km/hr)	10	10	10													
Drainage parameters																
Parameter	Value (min all types)	Val (thresh for type 3)				0.5 is default										
gdrainable (mm)	0.6	0.2					0.5	0.2								
Snow retainment limit (mm)	2					Keeps water to this level when this much snow is on the road surface										
Drainage time scale(hr)	12					Time scale for drainage when the time dependent version is used										
Ploughing parameters																
Parameter	Water	Snow	Ice													
Ploughing efficiency for snow removal	0.5	0.8	0.3			No efficiency for water ploughing										
Ploughing threshold (mm)	100	3	3			Large threshold for water as this is not a reason to plough										
Energy balance parameters																
Parameter	Value															
groad.evap-thresh  (mm)	0.02															
Roughness length (mm)	10				10	Road albedo defined in local metadata										
Snow albedo	0.4					Automatically defined by model when set to 0										
Suburface slab depth (m)	0															
Suburf temperature average time (h)	48															
Subsurface parameters 	_s (kg/m3)	cs (J/kg/K)	ks (W/m/K)				0.084	Slab depth automatic								
Subsurface parameters 	2400	800	2				11.84	mu								
Traffic turbulent exchange and heat flux	Heavy (he)	Light (li)														
atraffic  (veh-1)	1.00E-02	1.00E-03														
Hveh  (W m-2 veh-1)	1.50E+02	5.00E+01				Default was 10	5.00E+01									
Retention parameters																
Parameter	Road	Brake	Dust binder (g/m2)			Dust binder retention is experimental. Large value chosen for no effect	Road	Brake	Dust binder (g/m2)							
gretention-thresh (mm)	0.06	0.5	250				0.06	0.5	250							
gretention-min (mm)	0.02	0.3	50				0.02	0.3	50							
OSPM parameters																
f_roof and f_turb	0.4	0.4					0.4	0.25								
INTER-TRACK AND SHARED SUB-MODEL PARAMETERS						Road multi-track is a future development. Not implemented yet										
Surface texture parameters																
Adjusted parameter	texture_scaling(i)	Master texture scaling														
gdrainable (mm)	1	1														
f0.suspension(veh-1)	1															
f0.spray (veh-1)	1															
hdrainage-eff (dust)	1															
hspraying-eff (dust)	1															
Road track parameters																
Track type	Include which tracks	Fraction road area	Fraction vehicles	Migration factor (1/veh)												
falltrack 	1	1	1	0.01												
fouttrack	0	0.9	0.9	0.01												
fintrack	0	0.1	0.08	0.01												
fshoulder	0	0	0.01	0.01												
fkerb	0	0	0.01	0.01												
Track type	Suspension rescaling	Spray rescaling	None	None												
falltrack 	1	1	0	0												
fouttrack	1	1	0	0												
fintrack	100	100	0	0												
fshoulder	0.1	1	0	0												
fkerb	0.1	1	0	0												
